localsymbol,secType,symbol,expiry,right,multiplier,strike
AAPL  141114C00100000,OPT,AAPL,20141114,C,100,100
AAPL  141114C00101000,OPT,AAPL,20141114,C,100,101
AAPL  141114C00102000,OPT,AAPL,20141114,C,100,102
AAPL  141114C00103000,OPT,AAPL,20141114,C,100,103
AAPL  141114C00104000,OPT,AAPL,20141114,C,100,104
AAPL  141114C00105000,OPT,AAPL,20141114,C,100,105
AAPL  141114C00106000,OPT,AAPL,20141114,C,100,106
AAPL  141114C00107000,OPT,AAPL,20141114,C,100,107
AAPL  141114C00108000,OPT,AAPL,20141114,C,100,108
AAPL  141114C00109000,OPT,AAPL,20141114,C,100,109
AAPL  141114C00110000,OPT,AAPL,20141114,C,100,110
AAPL  141114C00111000,OPT,AAPL,20141114,C,100,111
AAPL  141114C00112000,OPT,AAPL,20141114,C,100,112
AAPL  141114C00113000,OPT,AAPL,20141114,C,100,113
AAPL  141114C00114000,OPT,AAPL,20141114,C,100,114
AAPL  141114C00115000,OPT,AAPL,20141114,C,100,115
AAPL  141114C00116000,OPT,AAPL,20141114,C,100,116
AAPL  141114C00084000,OPT,AAPL,20141114,C,100,84
AAPL  141114C00085000,OPT,AAPL,20141114,C,100,85
AAPL  141114C00086000,OPT,AAPL,20141114,C,100,86
AAPL  141114C00087000,OPT,AAPL,20141114,C,100,87
AAPL  141114C00088000,OPT,AAPL,20141114,C,100,88
AAPL  141114C00089000,OPT,AAPL,20141114,C,100,89
AAPL  141114C00090000,OPT,AAPL,20141114,C,100,90
AAPL  141114C00091000,OPT,AAPL,20141114,C,100,91
AAPL  141114C00092000,OPT,AAPL,20141114,C,100,92
AAPL  141114C00093000,OPT,AAPL,20141114,C,100,93
AAPL  141114C00094000,OPT,AAPL,20141114,C,100,94
AAPL  141114C00095000,OPT,AAPL,20141114,C,100,95
AAPL  141114C00096000,OPT,AAPL,20141114,C,100,96
AAPL  141114C00097000,OPT,AAPL,20141114,C,100,97
AAPL  141114C00098000,OPT,AAPL,20141114,C,100,98
AAPL  141114C00099000,OPT,AAPL,20141114,C,100,99
AAPL  141114P00100000,OPT,AAPL,20141114,P,100,100
AAPL  141114P00101000,OPT,AAPL,20141114,P,100,101
AAPL  141114P00102000,OPT,AAPL,20141114,P,100,102
AAPL  141114P00103000,OPT,AAPL,20141114,P,100,103
AAPL  141114P00104000,OPT,AAPL,20141114,P,100,104
AAPL  141114P00105000,OPT,AAPL,20141114,P,100,105
AAPL  141114P00106000,OPT,AAPL,20141114,P,100,106
AAPL  141114P00107000,OPT,AAPL,20141114,P,100,107
AAPL  141114P00108000,OPT,AAPL,20141114,P,100,108
AAPL  141114P00109000,OPT,AAPL,20141114,P,100,109
AAPL  141114P00110000,OPT,AAPL,20141114,P,100,110
AAPL  141114P00111000,OPT,AAPL,20141114,P,100,111
AAPL  141114P00112000,OPT,AAPL,20141114,P,100,112
AAPL  141114P00113000,OPT,AAPL,20141114,P,100,113
AAPL  141114P00114000,OPT,AAPL,20141114,P,100,114
AAPL  141114P00115000,OPT,AAPL,20141114,P,100,115
AAPL  141114P00116000,OPT,AAPL,20141114,P,100,116
AAPL  141114P00084000,OPT,AAPL,20141114,P,100,84
AAPL  141114P00085000,OPT,AAPL,20141114,P,100,85
AAPL  141114P00086000,OPT,AAPL,20141114,P,100,86
AAPL  141114P00087000,OPT,AAPL,20141114,P,100,87
AAPL  141114P00088000,OPT,AAPL,20141114,P,100,88
AAPL  141114P00089000,OPT,AAPL,20141114,P,100,89
AAPL  141114P00090000,OPT,AAPL,20141114,P,100,90
AAPL  141114P00091000,OPT,AAPL,20141114,P,100,91
AAPL  141114P00092000,OPT,AAPL,20141114,P,100,92
AAPL  141114P00093000,OPT,AAPL,20141114,P,100,93
AAPL  141114P00094000,OPT,AAPL,20141114,P,100,94
AAPL  141114P00095000,OPT,AAPL,20141114,P,100,95
AAPL  141114P00096000,OPT,AAPL,20141114,P,100,96
AAPL  141114P00097000,OPT,AAPL,20141114,P,100,97
AAPL  141114P00098000,OPT,AAPL,20141114,P,100,98
AAPL  141114P00099000,OPT,AAPL,20141114,P,100,99
AAPL  141114C00120000,OPT,AAPL,20141114,C,100,120
AAPL  141114C00075000,OPT,AAPL,20141114,C,100,75
AAPL  141114C00080000,OPT,AAPL,20141114,C,100,80
AAPL  141114P00120000,OPT,AAPL,20141114,P,100,120
AAPL  141114P00075000,OPT,AAPL,20141114,P,100,75
AAPL  141114P00080000,OPT,AAPL,20141114,P,100,80
AAPL  141114C00117000,OPT,AAPL,20141114,C,100,117
AAPL  141114C00118000,OPT,AAPL,20141114,C,100,118
AAPL  141114C00119000,OPT,AAPL,20141114,C,100,119
AAPL  141114C00121000,OPT,AAPL,20141114,C,100,121
AAPL  141114C00122000,OPT,AAPL,20141114,C,100,122
AAPL  141114C00123000,OPT,AAPL,20141114,C,100,123
AAPL  141114P00117000,OPT,AAPL,20141114,P,100,117
AAPL  141114P00118000,OPT,AAPL,20141114,P,100,118
AAPL  141114P00119000,OPT,AAPL,20141114,P,100,119
AAPL  141114P00121000,OPT,AAPL,20141114,P,100,121
AAPL  141114P00122000,OPT,AAPL,20141114,P,100,122
AAPL  141114P00123000,OPT,AAPL,20141114,P,100,123
AAPL  141114C00125000,OPT,AAPL,20141114,C,100,125
AAPL  141114P00125000,OPT,AAPL,20141114,P,100,125
AAPL  141114C00130000,OPT,AAPL,20141114,C,100,130
AAPL  141114C00135000,OPT,AAPL,20141114,C,100,135
AAPL  141114C00140000,OPT,AAPL,20141114,C,100,140
AAPL  141114C00145000,OPT,AAPL,20141114,C,100,145
AAPL  141114C00150000,OPT,AAPL,20141114,C,100,150
AAPL  141114C00155000,OPT,AAPL,20141114,C,100,155
AAPL  141114C00065000,OPT,AAPL,20141114,C,100,65
AAPL  141114C00070000,OPT,AAPL,20141114,C,100,70
AAPL  141114P00130000,OPT,AAPL,20141114,P,100,130
AAPL  141114P00135000,OPT,AAPL,20141114,P,100,135
AAPL  141114P00140000,OPT,AAPL,20141114,P,100,140
AAPL  141114P00145000,OPT,AAPL,20141114,P,100,145
