localsymbol,secType,symbol,expiry,right,multiplier,strike
SPY   141114P00183000,OPT,SPY,20141114,P,100,183
SPY   141114P00184000,OPT,SPY,20141114,P,100,184
SPY   141114C00187500,OPT,SPY,20141114,C,100,187.5
SPY   141114C00187000,OPT,SPY,20141114,C,100,187
SPY   141114C00188500,OPT,SPY,20141114,C,100,188.5
SPY   141114C00188000,OPT,SPY,20141114,C,100,188
SPY   141114C00189500,OPT,SPY,20141114,C,100,189.5
SPY   141114C00189000,OPT,SPY,20141114,C,100,189
SPY   141114C00190500,OPT,SPY,20141114,C,100,190.5
SPY   141114C00190000,OPT,SPY,20141114,C,100,190
SPY   141114C00191500,OPT,SPY,20141114,C,100,191.5
SPY   141114C00191000,OPT,SPY,20141114,C,100,191
SPY   141114C00192500,OPT,SPY,20141114,C,100,192.5
SPY   141114C00192000,OPT,SPY,20141114,C,100,192
SPY   141114C00193500,OPT,SPY,20141114,C,100,193.5
SPY   141114C00193000,OPT,SPY,20141114,C,100,193
SPY   141114C00194500,OPT,SPY,20141114,C,100,194.5
SPY   141114C00194000,OPT,SPY,20141114,C,100,194
SPY   141114C00195500,OPT,SPY,20141114,C,100,195.5
SPY   141114C00195000,OPT,SPY,20141114,C,100,195
SPY   141114C00196500,OPT,SPY,20141114,C,100,196.5
SPY   141114C00196000,OPT,SPY,20141114,C,100,196
SPY   141114C00197500,OPT,SPY,20141114,C,100,197.5
SPY   141114C00197000,OPT,SPY,20141114,C,100,197
SPY   141114C00198500,OPT,SPY,20141114,C,100,198.5
SPY   141114C00198000,OPT,SPY,20141114,C,100,198
SPY   141114C00199500,OPT,SPY,20141114,C,100,199.5
SPY   141114C00199000,OPT,SPY,20141114,C,100,199
SPY   141114C00200500,OPT,SPY,20141114,C,100,200.5
SPY   141114C00200000,OPT,SPY,20141114,C,100,200
SPY   141114C00201500,OPT,SPY,20141114,C,100,201.5
SPY   141114C00201000,OPT,SPY,20141114,C,100,201
SPY   141114C00202500,OPT,SPY,20141114,C,100,202.5
SPY   141114C00202000,OPT,SPY,20141114,C,100,202
SPY   141114C00203500,OPT,SPY,20141114,C,100,203.5
SPY   141114C00203000,OPT,SPY,20141114,C,100,203
SPY   141114C00204500,OPT,SPY,20141114,C,100,204.5
SPY   141114C00204000,OPT,SPY,20141114,C,100,204
SPY   141114C00205500,OPT,SPY,20141114,C,100,205.5
SPY   141114C00205000,OPT,SPY,20141114,C,100,205
SPY   141114C00206500,OPT,SPY,20141114,C,100,206.5
SPY   141114C00206000,OPT,SPY,20141114,C,100,206
SPY   141114C00207500,OPT,SPY,20141114,C,100,207.5
SPY   141114C00207000,OPT,SPY,20141114,C,100,207
SPY   141114C00208500,OPT,SPY,20141114,C,100,208.5
SPY   141114C00208000,OPT,SPY,20141114,C,100,208
SPY   141114C00209500,OPT,SPY,20141114,C,100,209.5
SPY   141114C00209000,OPT,SPY,20141114,C,100,209
SPY   141114C00210000,OPT,SPY,20141114,C,100,210
SPY   141114C00212500,OPT,SPY,20141114,C,100,212.5
SPY   141114C00215000,OPT,SPY,20141114,C,100,215
SPY   141114C00217500,OPT,SPY,20141114,C,100,217.5
SPY   141114C00220000,OPT,SPY,20141114,C,100,220
SPY   141114C00222500,OPT,SPY,20141114,C,100,222.5
SPY   141114C00225000,OPT,SPY,20141114,C,100,225
SPY   141114C00227500,OPT,SPY,20141114,C,100,227.5
SPY   141114C00230000,OPT,SPY,20141114,C,100,230
SPY   141114C00232500,OPT,SPY,20141114,C,100,232.5
SPY   141114C00235000,OPT,SPY,20141114,C,100,235
SPY   141114C00237500,OPT,SPY,20141114,C,100,237.5
SPY   141114C00240000,OPT,SPY,20141114,C,100,240
SPY   141114C00242500,OPT,SPY,20141114,C,100,242.5
SPY   141114C00245000,OPT,SPY,20141114,C,100,245
SPY   141114C00247500,OPT,SPY,20141114,C,100,247.5
SPY   141114C00250000,OPT,SPY,20141114,C,100,250
SPY   141114P00187500,OPT,SPY,20141114,P,100,187.5
SPY   141114P00187000,OPT,SPY,20141114,P,100,187
SPY   141114P00188500,OPT,SPY,20141114,P,100,188.5
SPY   141114P00188000,OPT,SPY,20141114,P,100,188
SPY   141114P00189500,OPT,SPY,20141114,P,100,189.5
SPY   141114P00189000,OPT,SPY,20141114,P,100,189
SPY   141114P00190500,OPT,SPY,20141114,P,100,190.5
SPY   141114P00190000,OPT,SPY,20141114,P,100,190
SPY   141114P00191500,OPT,SPY,20141114,P,100,191.5
SPY   141114P00191000,OPT,SPY,20141114,P,100,191
SPY   141114P00192500,OPT,SPY,20141114,P,100,192.5
SPY   141114P00192000,OPT,SPY,20141114,P,100,192
SPY   141114P00193500,OPT,SPY,20141114,P,100,193.5
SPY   141114P00193000,OPT,SPY,20141114,P,100,193
SPY   141114P00194500,OPT,SPY,20141114,P,100,194.5
SPY   141114P00194000,OPT,SPY,20141114,P,100,194
SPY   141114P00195500,OPT,SPY,20141114,P,100,195.5
SPY   141114P00195000,OPT,SPY,20141114,P,100,195
SPY   141114P00196500,OPT,SPY,20141114,P,100,196.5
SPY   141114P00196000,OPT,SPY,20141114,P,100,196
SPY   141114P00197500,OPT,SPY,20141114,P,100,197.5
SPY   141114P00197000,OPT,SPY,20141114,P,100,197
SPY   141114P00198500,OPT,SPY,20141114,P,100,198.5
SPY   141114P00198000,OPT,SPY,20141114,P,100,198
SPY   141114P00199500,OPT,SPY,20141114,P,100,199.5
SPY   141114P00199000,OPT,SPY,20141114,P,100,199
SPY   141114P00200500,OPT,SPY,20141114,P,100,200.5
SPY   141114P00200000,OPT,SPY,20141114,P,100,200
SPY   141114P00201500,OPT,SPY,20141114,P,100,201.5
SPY   141114P00201000,OPT,SPY,20141114,P,100,201
SPY   141114P00202500,OPT,SPY,20141114,P,100,202.5
SPY   141114P00202000,OPT,SPY,20141114,P,100,202
SPY   141114P00203500,OPT,SPY,20141114,P,100,203.5
SPY   141114P00203000,OPT,SPY,20141114,P,100,203
SPY   141114P00204500,OPT,SPY,20141114,P,100,204.5
SPY   141114P00204000,OPT,SPY,20141114,P,100,204
SPY   141114P00205500,OPT,SPY,20141114,P,100,205.5
SPY   141114P00205000,OPT,SPY,20141114,P,100,205
SPY   141114P00206500,OPT,SPY,20141114,P,100,206.5
SPY   141114P00206000,OPT,SPY,20141114,P,100,206
SPY   141114P00207500,OPT,SPY,20141114,P,100,207.5
SPY   141114P00207000,OPT,SPY,20141114,P,100,207
SPY   141114P00208500,OPT,SPY,20141114,P,100,208.5
SPY   141114P00208000,OPT,SPY,20141114,P,100,208
SPY   141114P00209500,OPT,SPY,20141114,P,100,209.5
SPY   141114P00209000,OPT,SPY,20141114,P,100,209
SPY   141114P00210000,OPT,SPY,20141114,P,100,210
